Accession,Peptides used for quantitation,BY,BY 2,RM,RM 2,7.3.d,11.2.d,7.8.d,4.4.d,6.4.d,3.4.d,9.6.d,2.4.a,23.5.d,18.1.d,20.1.d,8.2.d,17.2.d,1.3.d,1.1.d,14.2.c
YPL231W,73,3.343490042,3.323988249,2.607677241,2.624254946,2.618544275,2.560468455,2.893332726,2.626205643,2.928878069,3.268141331,2.93290461,2.922255828,2.792151902,3.103583565,2.586050687,2.971722632,3.193145996,3.155220534,2.674470632,2.827964535
YKL182W,67,2.599175971,2.625307569,2.409918294,2.409415744,2.131236539,2.162686921,2.311268147,2.47931865,1.894387989,2.909614249,2.60261056,2.071271819,2.36391251,2.371425347,2.305264778,2.433175873,2.900546129,2.751011902,2.310525319,2.489080161
YNR016C,57,1.773720274,1.727405831,2.042855496,2.063439687,1.568887396,1.618514857,1.66653042,1.882619846,1.414737458,2.227884947,2.017715574,1.659070221,1.575255905,1.758468035,1.845538854,1.906304904,1.891285352,1.996828738,1.912665067,1.954577299
YJL130C,47,1.118732456,1.075882492,1.073241178,1.094406709,1.038054763,0.780953316,0.872686989,0.954967688,0.664251292,1.719385738,1.243564955,1.384442751,1.157222798,1.460960145,0.774693722,1.170084154,0.98732218,1.147288505,1.03398477,1.148486276
YHR174W,46,5.413060253,5.453245156,5.868978799,5.876860142,6.095544539,5.622381716,5.672621219,5.974569426,5.575611059,6.101147884,5.846928338,5.542760192,5.484686687,5.850222917,5.989288124,5.624195136,5.60247877,5.5176846,5.511462535,5.501550513
YLR249W,50,3.209177084,3.186052239,3.205019112,3.195525672,3.119599059,3.259452424,3.402419631,3.287580935,2.813930597,3.346150504,3.084168471,4.065202709,3.041100695,3.431796439,3.108643324,3.38626982,3.154702796,3.224078333,3.349529159,3.28729472
YLR044C,47,5.965055917,5.920536407,6.242491235,6.27457994,6.395040003,6.10231738,5.956803913,6.386747627,6.101994335,6.185839075,6.325387934,6.256724023,5.854839116,5.922932218,6.304234107,6.043786153,5.703442296,5.612314833,6.030098323,5.926397438
YDR385W,45,4.022638687,4.046506032,4.141458309,4.146053288,4.141715685,4.132163938,4.252282974,4.227828466,3.936650057,4.264619215,4.238062302,3.995946614,3.805094158,4.08850342,4.084884216,4.246773504,3.814182917,3.984809313,4.281655452,4.139182108
YDL229W,42,4.568442132,4.596561049,4.362842685,4.37475366,4.370149198,4.516736529,4.930378589,4.24413978,4.451979408,4.598513233,4.459991306,4.681507668,4.434291282,4.853154262,4.272030602,4.779898796,4.706280251,4.838002499,4.604876305,4.818919146
YLL024C,42,5.072557357,5.086714249,4.42393436,4.440145624,4.807053128,4.695276601,4.876797853,4.229614854,4.789945213,4.882473017,4.593661033,4.92340335,4.720078826,4.813064281,4.468123583,4.846035066,4.931826798,4.625456779,4.796233517,5.045451667
YPL240C,42,3.538921707,3.528696834,2.913430998,2.943054564,3.362545155,3.016421625,3.330294221,2.827958046,3.158987672,3.310861018,2.994933609,2.704076878,3.150408185,3.368226833,2.995920142,3.300709156,3.338329073,3.197368854,3.183012164,3.395320962
YPR080W,43,4.876707351,4.936250224,5.109805105,5.096546641,4.965198574,4.98736129,4.90659784,5.474625183,4.879244242,4.921194349,5.019346166,4.755726795,4.860985799,4.879477975,5.151564419,5.043447033,4.926499441,5.152756059,5.097875802,5.029400635
YDL185W,36,3.002833254,3.002804174,2.130990381,2.118362604,2.459653704,2.631201139,2.871364499,2.063950022,2.687841474,2.199744965,2.666957985,2.96707051,2.230892923,2.441391861,2.097967885,2.508668069,2.505106757,2.09996478,2.51510174,2.14129341
YCR012W,40,5.332007217,5.362312207,5.392670107,5.405758379,5.491169629,5.388641946,5.224466601,5.304123095,5.365316601,5.571021374,5.37271164,4.890888595,5.186331458,5.390147108,5.40028375,5.253683418,5.369883707,5.247558811,5.191240945,5.222696138
YER091C,40,3.586276837,3.625454309,3.024957299,3.009962792,3.484158944,2.792469702,2.857357962,3.712945829,3.567880011,3.841890804,3.623537147,4.475951292,4.276797332,4.109474121,3.319141142,3.385381957,2.770596231,3.793500664,3.472869512,3.484638476
YAL038W,35,5.253978206,5.270713918,5.665177168,5.654451875,5.852948352,5.34440025,5.039589941,5.98512882,5.204516484,5.597386573,5.383816086,4.858296949,5.408254812,5.354855841,5.913955681,5.009693053,5.251778779,5.104226908,5.50823061,5.180897231
YJL052W,36,6.931721615,6.90735508,6.084960846,6.081188714,6.517431865,6.341393612,6.544759674,6.101460161,6.808392856,6.411887768,6.41684831,6.636577089,6.64240227,6.832266156,6.544786965,6.481639821,6.590328331,6.394601185,6.278861718,6.172144579
YGR240C,37,2.241382461,2.244049171,2.170803216,2.107298736,2.333938911,2.111027711,2.164688962,2.181276242,1.958281307,2.39996838,2.163341389,1.997022848,1.867846864,2.177631415,2.030386796,2.13276152,2.163586824,2.21164493,2.293344971,1.977213845
YPL061W,36,3.678577217,3.5990268,3.990857457,4.008050019,3.60297774,3.672938041,3.648099961,3.78582946,3.724248829,3.358353949,3.649841331,2.968775665,3.691476488,3.145574223,3.090096606,3.566485509,3.263434325,3.959199517,3.528679202,3.385119406
YGL245W,30,2.101806519,2.160387033,2.719384561,2.704690383,2.404190045,2.361022511,2.22410595,2.395989539,1.802845731,2.618696164,2.305906399,1.545689973,2.595984083,2.214464965,2.734344132,2.232817355,2.643714013,2.244773364,2.530622087,2.615996173
YJL080C,30,1.593851189,1.507932663,1.14794895,1.110380162,1.122211195,1.553488564,1.649562126,0.828533235,1.688905851,1.110596991,1.486383541,1.894154224,1.375648387,1.490260526,1.195868048,1.641961816,1.614003304,1.414052335,1.56319288,1.443331198
YKL152C,28,4.98425716,4.98422681,4.999253293,4.978631232,5.135802886,4.959814302,4.764375678,4.771629312,5.033849874,5.056998238,4.913168915,4.421139492,4.892209641,5.027174126,5.027693939,4.792142557,4.937911912,4.641902168,4.747482732,4.641113298
YGL008C,26,4.019777083,3.781120153,3.950311534,3.951431678,3.884259259,3.241941944,3.591028334,4.079274043,3.581093596,3.965965115,4.065261203,4.532397784,3.930157164,3.663466668,3.76305108,3.750217512,3.673708586,3.866617719,4.074789898,3.91449587
YJR045C,27,4.026248888,4.176929294,3.813832259,3.850624957,3.862820818,4.148616185,4.116613364,3.965733952,4.035095572,3.602877344,3.972875574,3.517687427,3.989090211,4.065712645,4.065375191,4.261396964,3.768339753,4.122942005,4.045683194,4.236197678
YLR259C,28,3.837105408,3.895801154,3.070956176,3.135773857,3.367025387,3.624045633,3.858897279,3.125432001,3.72520121,3.541170191,3.635419547,4.242968169,3.827457375,3.928186766,3.521472265,4.019407826,3.568592251,3.86315712,3.57401554,3.903621042
YBR127C,25,3.912246932,3.916947496,3.257166262,3.32117068,3.763288518,3.679557441,3.648910689,3.496665539,3.775387414,3.375820866,3.731077707,3.203607881,3.109229012,3.382586129,3.258646605,3.383359094,3.318712512,3.13166032,3.449779502,3.121714026
YDL126C,27,2.120100078,2.114373166,2.090039727,2.033516586,2.259895211,2.307508902,2.132307177,2.236194874,2.098090377,2.03090134,2.294165777,1.468080477,1.857896841,2.071339568,2.067695268,1.947812032,2.036519431,1.863544791,2.049427705,1.819775178
YOR204W,30,2.688618204,2.575249438,2.059393276,2.063056989,2.298267749,2.394783289,2.549428077,2.201455399,2.315201295,2.311648251,2.308488829,2.327686091,2.35487135,2.445901722,2.185290928,2.489287627,2.350460589,2.569297157,2.322035988,2.558575149
YPL160W,28,2.003576406,2.076567354,1.153028275,1.208701225,1.562452937,1.38328021,2.07541887,1.261387435,1.576808357,1.747387967,1.694588375,1.71458357,1.281419282,1.834334767,1.028703072,1.446602873,1.744970128,1.839310565,1.620743438,1.401077861
YJR121W,25,3.927540616,3.933867041,3.89412796,3.89751165,3.679058958,4.262384944,3.885597241,4.299047698,4.247163888,2.914261136,3.833732593,3.412808995,4.215882408,3.469096732,4.138197088,4.115542739,3.142994994,3.6977604,3.758083594,4.051268331
YPL106C,23,1.355845118,1.176953515,1.529586826,1.570427418,1.276009382,1.365999766,1.151777068,1.495865441,1.154727875,1.815030229,1.322490382,1.159159504,1.230470897,1.336439001,1.259898681,1.324902555,1.153060774,1.297855696,1.329647728,1.472435549
YER165W,28,2.382578305,2.423533369,2.848098649,2.865951202,2.867566391,2.954437974,2.70469995,2.950463532,2.802473939,2.918234901,2.823873036,2.38255941,2.878988128,2.79393309,2.932459483,3.012949691,2.624918147,2.549229861,2.82189573,2.93383739
YMR205C,28,2.950468725,2.948731117,2.394105041,2.373981214,2.734465324,2.444395935,2.648140339,2.24152147,2.617350977,2.645142324,2.473441062,2.804378431,2.40551947,2.838023876,2.432573086,2.484578201,2.658869056,2.48868991,2.575907176,2.295694047
YLL026W,22,2.740467857,2.737339394,0.999255642,0.988314562,1.729328653,1.391795461,1.089019237,1.427253248,2.543023592,0.949220751,1.111871048,0.98282623,2.084151273,1.395881431,1.439066731,1.774207994,1.524532632,0.966336136,1.933628516,1.670667768
YBR079C,23,2.387678717,2.422394448,1.924560652,1.957072934,2.054820946,2.161692355,2.415252368,1.658003533,2.423405335,2.068255015,2.287324949,2.370034672,2.340965548,2.229093543,2.059548501,2.456759861,2.594866641,2.344710613,2.477091788,2.284803123
YOR063W,17,2.582989579,2.54749535,3.173867574,3.225372671,2.560773973,2.634381976,2.587560266,2.762569207,2.46059175,2.885561738,2.825173612,2.58737602,3.094962824,2.873552946,2.921237207,3.058565019,3.071550118,2.84219919,3.135635625,3.096608586
YGR155W,22,2.986267536,2.977964595,2.120159613,2.109648002,2.666853229,2.578308332,2.598458658,2.31329998,2.829344478,2.757806614,2.696199867,3.205370312,3.1080443,2.795628338,2.480518225,2.5450482,2.502093167,2.675215017,2.372152429,2.779756904
YFL039C,24,3.601258242,3.631716296,3.494286999,3.419503634,3.424625465,3.267892599,3.134748082,3.496611565,3.373146157,3.41330568,3.463590305,3.432629274,3.372765804,3.444176548,3.471892798,3.444612095,3.197912105,3.246644148,3.426368001,3.265390327
YPR074C,22,2.390525843,2.381116129,2.959100371,2.916080431,2.356095677,2.394603486,2.455537791,2.533385544,2.214058712,2.67681415,2.48779044,3.001873945,2.552608252,2.384200457,2.367538502,2.540564394,2.187389209,2.189072625,2.462188006,2.455911604
YBL099W,23,3.488831019,3.422144313,3.680201219,3.624989338,3.424832272,3.929869089,3.305240946,4.013583908,3.63431131,2.693931224,3.427209616,2.662626036,3.931644498,3.162835755,3.864144195,3.634998742,2.945789506,3.538188408,3.453725817,3.743861813
YGR061C,26,0.965846884,0.980078887,0.09094009,0.136244981,1.00178951,0.198317723,0.63260674,0.369815948,0.378352093,0.934678326,0.637258676,0.863534093,0.316686857,1.144781706,0.225919572,0.431574662,0.561953676,0.548746423,0.273707012,0.39785062
YJR009C,23,6.220033307,6.264971245,6.16731415,6.133807121,6.706154676,6.60396292,6.190032608,6.403370651,6.498146256,6.598595149,6.280571978,5.655791146,6.514773024,6.53579284,6.730545092,6.02453481,6.251520986,5.961371596,6.307165146,6.10533486
YBR218C,22,0.205538244,0.331970148,0.977610399,1.011365892,0.824694305,0.811725273,0.256788945,1.088193626,0.200004732,0.464330397,0.865660472,0.053839776,0.362534864,0.374700378,0.971480103,0.354694368,0.411444454,0.625600189,0.773317669,0.599659988
YKL060C,22,5.148152254,5.229927713,5.481174734,5.548715969,5.438763157,5.3679463,5.075020017,5.463003814,5.023343076,5.388176306,5.075093809,4.773928631,5.10649985,5.140618782,5.407300544,5.025834274,5.080829797,4.824908271,5.046952497,4.886036157
YGL234W,23,1.221732012,1.264402862,1.032216925,1.101308455,1.510327505,0.688262663,1.056183687,0.971016275,0.985724004,1.43733451,1.258994472,1.581968754,1.015056718,1.481831959,1.039778925,0.751743043,0.892651197,0.752103993,0.998344598,0.762333361
YLL045C,22,3.531604688,3.562574711,3.762451746,3.68572435,3.386402894,3.536170289,3.845376412,3.394410134,3.57973797,3.711008494,3.790560504,4.529510276,3.826664393,3.821406683,3.487446149,4.238567019,3.942417547,4.239041235,3.873114553,4.017379456
YGR094W,22,1.150568946,1.166343679,0.554070408,0.583764159,0.729924159,0.49078764,0.954975073,0.392887377,0.467737856,1.031968962,0.816358817,1.060271044,0.46539299,1.011319509,0.375142298,0.928460924,1.071619543,1.275259184,0.854462779,0.866293227
YOR335C,22,1.948299912,1.979923329,1.657046105,1.704538387,1.856837603,1.884871946,2.168856082,1.570699373,1.643775031,1.882119235,1.869642298,1.824396278,1.75235501,1.984281447,1.578031221,1.878272094,2.150157427,2.08864292,1.795425751,1.881831206
YOR027W,22,2.154353906,2.095434937,1.848817541,1.781674852,2.0806355,1.943961656,1.965323526,1.525846464,1.972966787,1.989739373,1.867721761,1.818651316,2.337664966,1.784049403,1.784256794,2.156679519,1.948795538,1.680796932,1.627311456,2.28630662
YGL253W,25,3.645986738,3.613920699,3.341240381,3.304741272,3.533462998,3.343955657,3.855986304,3.040975886,3.408805492,4.119432295,3.880941776,3.796834576,3.485122774,4.207109785,3.434754251,4.198685512,3.931195669,3.92396827,3.705574479,3.863860476
YLR355C,20,2.591568296,2.677455722,3.4420247,3.424637326,2.873187586,3.272445164,3.159908307,3.556952341,3.156190232,3.142096196,3.508914423,4.181080996,3.225197871,3.273503872,3.051609693,3.808261408,2.965547932,3.697980314,3.502108293,3.324365508
YBR196C,23,3.446106685,3.44659234,2.935823575,2.956308327,3.363659575,2.777573706,3.084398274,2.723474699,2.868955456,3.275889178,2.83485653,3.084750959,3.073175294,3.240751271,2.866899412,2.961348978,3.390610231,3.120266745,2.925232049,2.811078854
YHR183W,25,2.29807967,2.189120772,3.124371522,3.040094441,2.314295521,2.134264583,2.396163837,2.504652575,2.141217587,2.685690937,2.524885336,2.547371199,2.671592527,2.554645413,2.702585952,2.47562506,2.501112536,2.681050542,2.472420158,2.60925129
YLR180W,22,1.628707124,1.628120903,2.87151911,2.82380711,2.131480563,1.908638778,1.690512887,2.287378194,2.109414743,2.412257692,2.451229794,3.10486283,2.596399121,1.930577849,2.274076592,1.889867639,2.183457111,1.791878931,2.140797349,2.169278776
YHR020W,21,2.053279922,2.019880178,2.040935795,2.072667016,1.81218534,1.817786756,2.443598951,1.617118975,1.728283707,2.547451485,2.349254106,2.996729459,2.362755837,2.248281627,1.663998045,2.971265906,1.742897194,2.765432314,1.842804576,2.909298683
YLR304C,22,2.4494888,2.482163358,1.69276513,1.750861275,2.348798756,2.588731149,2.610514452,2.771009668,2.343987432,0.976740581,1.72651169,1.915832064,2.097142908,2.052890656,2.361850688,2.387152396,1.644925117,1.788906397,2.465565682,1.911104093
YLR058C,23,1.873920097,1.800380783,1.832867867,1.834126421,2.442428679,1.297638597,1.825921864,1.988793822,1.870126882,2.198563464,1.99988862,3.291104765,1.958896692,2.939921206,2.005995492,1.483664177,2.212629873,2.231666854,1.802017265,1.612122592
YBR121C,19,2.369113883,2.440696444,1.810089788,1.801390254,2.099207725,2.258240014,2.480042854,1.930009969,2.174942178,2.105213723,2.215429935,2.387166951,2.017740116,2.311567521,1.923403812,2.398501065,2.11154219,2.368085424,2.145576847,2.370712994
YKL210W,18,2.322176192,2.486691966,2.550198912,2.504484289,3.010616805,2.71992804,2.746012195,2.153877116,2.215007291,2.650568332,2.696791771,3.093406399,1.731172055,2.328524412,2.7313584,2.774923123,1.817042006,1.38833366,2.530632855,2.189518165
YBR031W,24,3.283502231,3.228034013,4.645993764,4.682923916,4.133519043,4.245443356,3.848117233,4.756582181,3.745341901,4.18251813,4.015827549,3.480148109,4.103386574,3.83471778,4.39775911,4.038240604,3.880562414,3.75491796,4.163083135,4.391955253
YER110C,20,1.289631171,1.350349135,1.009119747,1.043855092,1.108408419,1.010325673,1.130845599,1.223571207,0.494741254,1.339469367,1.154575655,1.197429735,0.687736268,1.132241507,0.940380999,0.908546954,1.098601971,1.185570898,1.041471541,1.027083698
YJL034W,21,2.598344395,2.599386384,2.827308057,2.834162653,2.318714045,2.380477513,2.536135309,2.122832708,2.218301314,2.531953885,2.385191756,2.127005222,2.917953991,2.981856304,2.472277551,2.420316932,3.495077779,3.197512074,2.613649415,2.855880537
YLL018C,17,1.298793406,1.337805003,1.490409797,1.563050603,1.344833928,1.215533836,1.25114413,1.338580652,1.043044773,1.554254335,1.544950786,1.998647489,1.4590758,1.451081014,1.333864602,1.232222162,1.660667795,1.388662238,1.217945641,1.46228487
YDR127W,20,0.76198464,0.802729588,1.595328685,1.70324574,1.601265382,0.988187243,0.188234318,1.629226471,0.244796574,1.906899533,0.71564409,0.221013283,1.296005198,0.62039358,1.410716744,0.733247349,0.962521781,1.079024154,0.991636906,0.975670672
YCR053W,21,1.143448325,1.114149357,1.080300459,1.148787299,1.031637915,0.688675256,1.042596441,1.039522096,1.123457658,1.32657572,0.909861868,1.471527229,1.020798486,1.255610776,1.011475389,1.109344937,1.404063207,1.503530733,1.272812803,1.237137742
YMR116C,20,4.359316436,4.386107934,4.690701899,4.680822554,4.671481122,4.674245463,4.713443826,4.85682631,4.237793084,4.827910257,4.478713076,4.496482667,4.580013316,4.673026472,4.714981465,4.63935783,4.516573286,4.536023792,4.696889609,4.727441907
YBL076C,18,1.790485073,1.76766799,0.883604144,0.882837726,1.242307269,1.280775888,1.727279987,0.756606937,1.383042607,1.649849273,1.339494847,2.013346461,1.19738774,1.700622447,0.975710669,1.453894407,1.74743817,1.766719205,1.500645811,1.463366556
YER043C,19,2.305271193,2.384971066,3.260562645,3.312067771,2.456667297,2.204255524,2.41981019,3.160161832,2.175892333,3.198210489,2.734697388,2.809812065,2.817709643,2.805018053,2.903658789,2.855110409,2.71662559,2.805368705,2.60667713,2.923752884
YJR109C,20,1.091603511,1.12867366,0.750531875,0.632096967,0.85634918,0.18508989,0.740548736,1.047303408,0.044419488,0.722788244,0.500127892,1.114467797,0.004012517,1.274948383,0.423684462,1.174073024,1.629394578,1.675794269,0.865478414,1.023819168
YML063W,21,2.315746854,2.3954854,3.22466401,3.1559613,2.4847361,2.614739591,2.389617457,2.751025832,2.159914721,2.644896052,2.600414689,2.209539721,2.838867174,2.553434477,2.836282326,2.726684002,2.863584195,2.78660434,2.978333133,2.840382253
YFR053C,21,2.162117132,2.091669968,2.657959152,2.668309348,2.718221248,2.973132077,1.726963696,3.687285226,2.658870732,1.889025251,2.686423227,0.943285653,2.215065043,1.665229024,3.046109842,1.812091459,2.003720772,1.543057769,2.232033626,1.434117733
YIL053W,17,3.100785564,3.164006695,2.558509521,2.525652407,3.129764404,2.509459553,3.478776637,2.709746854,2.967652465,2.831830008,2.717298628,3.499708237,2.950178285,3.318577152,2.501390848,2.642058545,3.415611901,3.031246178,3.045254843,2.883119367
YPL226W,15,0.483171591,0.381863463,0.175863958,0.169249798,0.235813993,0.012079631,0.461670556,-0.027211201,0.122060666,0.38411879,0.236858241,-0.393197237,0.382856353,0.416283363,-0.000671286,0.35828204,0.572961538,0.474853864,0.347878758,0.590099332
YNL178W,20,4.252468416,4.14212013,4.281485268,4.378809307,4.344908444,4.314511792,4.342731192,4.377621065,4.057154075,4.442200375,4.25549989,4.009991501,4.494996887,4.542618144,4.267779733,4.382678452,4.43751141,4.327181692,4.445422765,4.528258158
YER036C,19,2.471236885,2.523023854,2.133879108,2.116138245,2.492380314,2.325585132,2.377102638,2.018071397,2.41910925,2.414595737,2.414996137,2.347449237,2.532666107,2.506548263,2.461058722,2.323350614,2.452884241,2.331291023,2.552510805,2.308630239
YGL206C,20,1.162179193,0.977043159,0.418945122,0.422143965,0.760872816,0.119282016,0.725022733,0.291589629,0.2673907,0.782028154,0.72821781,0.883497223,0.58935363,0.635392827,0.187900023,0.595708415,0.821011876,0.800380996,0.616281594,0.577047102
YJL138C,20,4.318515341,4.297786247,3.902913464,3.820993855,4.057114038,3.865977068,4.390522411,3.961609507,4.131523232,4.120085077,4.176620501,4.078960007,3.988626689,4.340515516,3.95929722,4.308877504,4.11375286,4.439883801,4.112262321,4.3203777
YOR168W,18,0.906087753,0.858554186,0.643245143,0.61557047,0.737753026,0.863396765,0.980297796,0.484816991,0.554356602,1.027930895,0.847337773,0.474347965,1.068209463,1.133255879,0.639063284,1.085715045,1.224964325,1.294271315,1.062460672,1.191622856
YPL028W,20,1.690067173,1.696148854,2.623343828,2.64979871,1.81479679,1.848163983,1.749126386,2.105799994,1.475991426,2.713459029,2.62360061,2.767737578,2.053074982,1.832334412,1.665917184,2.254953953,1.793641296,2.267264176,1.538184593,2.265310629
YDL140C,20,1.299481693,1.174767179,1.123988663,1.089210286,1.946207424,1.434433888,1.566062989,1.431384429,1.251070296,1.412614532,1.614818707,1.40329146,0.69169787,1.07813641,1.167077669,1.167662582,0.693836455,0.629404931,1.256438073,1.085275462
YGR204W,22,0.714765156,0.72679879,0.157534668,0.173175784,0.477689463,0.025143266,0.46948239,0.2148791,0.380223769,0.775016996,0.437456178,0.595730409,0.673455661,0.778481444,0.229660031,0.16647802,0.788697669,0.83095514,0.117096428,0.446739783
YDL195W,17,1.838998298,1.846184094,0.929103801,1.049037486,1.07242486,1.02118415,1.474971952,0.9006091,1.273614462,1.246722206,1.357902711,1.633660865,1.219666937,1.428408325,0.960049693,1.356662549,1.290791641,1.464897491,1.289730906,1.350300354
YGL202W,16,1.821948025,1.80704262,1.502438449,1.501615824,1.509866897,1.449273701,1.669265118,1.44541586,1.471521667,1.664152912,1.529114036,1.762981885,1.284349837,1.820984183,1.254989978,1.805874506,2.004112517,1.811304651,1.583828115,1.399578875
YCL030C,16,1.759366513,1.713308419,1.110894621,1.147016856,2.028224947,1.449984058,1.564872491,1.584750432,1.970764066,1.327356275,1.514764697,1.568642998,1.648053597,1.974794203,1.699615026,1.147530683,1.501454573,1.718949531,1.412902191,1.511961152
YKL035W,15,2.361366425,2.406234658,2.100469181,2.029296164,2.118770423,2.381481968,1.776594214,2.26770536,2.623262348,1.066203415,1.852981173,1.037753428,2.138629292,1.679864367,2.150775139,1.598092697,1.764712441,1.622663668,2.301480092,1.407547917
YPR160W,18,1.589960051,1.615406846,1.502075049,1.490209445,1.227073575,1.995057787,1.133489147,1.936923563,2.16506927,0.40449842,1.456608623,1.228317067,0.59773529,0.489437013,1.447982728,1.176035218,0.495230757,0.876768794,1.428302659,0.645907454
YER177W,21,3.581941976,3.448348657,3.621783871,3.584135514,3.685802051,3.5940265,3.218796933,3.567248498,3.521790945,3.419230715,3.64362884,2.973108967,3.708153417,3.398471764,3.754002714,3.220300816,3.382522911,3.120645557,3.58967099,3.264591597
YHR064C,20,2.618255283,2.53210981,2.021597056,2.053075244,2.405889664,2.456504121,2.579143053,2.016874919,2.317890792,2.505025731,2.415872256,2.489796718,2.464143425,2.547647673,2.052609144,2.366743406,2.556274107,2.256364241,2.052823686,2.359909088
YML100W,18,1.903447047,1.930714567,0.933651814,0.969788141,1.767156279,0.945290631,0.446299492,1.795728249,1.875089354,0.605971965,1.19959128,0.577709691,1.567791413,0.651822476,1.537091036,0.306929983,0.614735838,0.437955064,1.082590883,0.541776119
YNL055C,21,3.742519139,3.752101522,3.677961694,3.674396244,3.64157052,4.450813911,3.189213221,4.115945433,3.897984913,3.203828286,3.699036216,2.926715146,3.893193333,3.090012569,4.11272743,3.349562141,3.291640424,3.241253588,3.408028494,3.264326271
YNL104C,13,-0.660850715,-0.619672338,0.042765393,0.049381884,0.010833963,0.34601459,-0.005737845,0.224894659,-0.015200531,-0.233100683,0.148028889,-0.516049523,-0.308494233,-0.419419467,-0.569353558,-0.370998108,-0.565138186,0.468908347,-0.238858896,-0.528836935
YHR203C,15,2.386347499,2.265192187,3.34024595,3.378642838,2.711029025,2.791866585,2.492599983,3.340045634,2.376963322,2.99755199,2.729826947,2.249734279,2.897594464,2.879335987,3.105938852,2.773425002,2.780591437,2.819471558,2.97749317,2.992770277
YLR354C,13,2.923877453,2.897434013,2.864088747,2.935532004,2.754038376,2.163564242,2.468176048,2.47991174,2.691621912,2.822472435,2.946774744,2.760912419,3.266464779,3.056952642,2.784448315,2.41122367,2.689223853,2.193019467,2.661468135,3.098191804
YDL171C,16,0.309362955,0.223889198,-0.294739209,-0.366438773,-0.220165518,-0.182188122,0.134631291,-0.207891086,-0.835482087,0.245413128,-0.254980421,-0.235900715,-0.41609906,0.338030913,-0.433811758,-0.147046657,-0.021156732,0.587221937,0.015947217,-0.002858624
YGL026C,19,1.862315935,1.817614065,1.734593214,1.782032189,2.038219681,2.000383899,1.858638834,1.768340604,1.557798804,1.923061126,2.02481774,1.741479493,1.313593286,1.744533356,1.590870545,1.705092496,1.652523929,1.737253266,1.859800184,1.530249572
YCR088W,17,2.964810335,2.975862444,2.249547657,2.301546709,2.591120735,2.653896253,2.462718961,1.978667272,2.769623544,1.994095642,2.845568525,2.260870784,2.838028768,2.486799486,2.167677099,2.027607742,3.122810361,2.230398854,2.542421995,2.400720562
YJR139C,15,2.154530378,2.146424859,2.661628466,2.649587984,2.431997805,2.531149048,2.139884612,2.532055656,2.399750925,2.642592928,2.749404024,2.20496609,2.49680457,2.316535695,2.526507897,2.229807553,2.248972569,2.214114904,2.389823229,2.269656688
YCL043C,16,2.926981604,2.924695793,3.105837066,3.095235674,3.045580238,3.077820346,2.926161156,2.767882287,2.854066264,2.75355888,3.034331411,2.706241531,2.886568754,2.969475512,2.997500048,2.705730427,3.234139653,2.549173468,2.956756578,2.658141831
YER069W,15,0.030427874,0.103676729,1.407435299,1.415137354,0.117396705,0.300541624,0.930677808,0.324476916,-0.251436393,-0.291295843,0.367524025,1.037658165,-0.337656099,0.675794945,0.147662332,1.250566122,1.214597458,1.585938088,1.203835275,1.550677489
YGL009C,14,2.867293723,2.782391052,1.778888632,1.691329721,1.990623623,2.553752376,2.176520553,1.633381001,1.773604988,2.779618146,2.641209936,2.29529095,2.36033474,2.648189302,1.184348407,1.606030322,2.729119505,3.839455541,2.065214527,2.358118401
YGL123W,16,4.319159545,4.337323795,4.230608685,4.200286895,4.086462475,4.253232836,4.564071652,4.153546841,4.321421553,4.362706225,4.26366971,4.318627502,4.46879469,4.451282389,4.194921844,4.6085859,4.581535606,4.559177552,4.259377055,4.50523387
YLR153C,14,1.472174376,1.509158336,2.038531542,2.204579097,1.700163948,1.436379391,1.507217512,1.359576455,1.292341772,2.402887595,2.414233828,2.602848111,1.698201009,1.638688298,1.134995895,2.337402798,1.531035937,2.154233527,1.377353283,1.854193878
YIL078W,18,1.739077853,1.726799757,1.143560414,1.145159094,1.544486141,1.326824421,1.457717516,0.937928693,0.945492686,1.565841597,1.364072298,1.261176656,1.298850491,1.343852671,1.155276526,1.327818925,1.744841417,1.619985517,1.641582825,1.353562895
YBR011C,17,2.681180374,2.6343928,3.300706011,3.305274618,3.148476421,3.434157438,2.981693405,3.435829169,3.258652002,3.113838107,3.235080599,2.463825156,3.127082944,3.030207875,3.381766871,3.044628564,2.760479743,2.881851652,3.098893885,2.977413343
YPL090C,16,3.44862838,3.554816109,4.121385536,4.053697077,3.806437953,4.046647862,3.830187772,4.017518917,3.459073385,3.85911388,3.691839078,3.554795549,3.895305986,3.807829459,3.977333958,3.977496679,3.838832728,3.768025168,3.906528765,4.131993129
YDL182W,16,1.712813538,1.799723359,2.714549873,2.771206101,1.504249727,1.124606269,2.201875664,1.858764758,2.176299968,1.733098387,1.277315647,2.909648918,1.966010791,1.826870531,1.22872231,1.310096712,3.5255197,1.807274528,2.459502333,1.616283597
YPR181C,15,1.128293146,1.55155117,1.609137729,1.686505201,1.228053298,0.955031508,0.991187273,1.392483879,0.906648897,1.238131893,1.211577465,0.713607484,1.423373046,1.345367389,1.204213024,1.215149831,1.486171703,1.780705884,1.368746157,1.399854806
YDL055C,15,4.399077733,4.363182897,3.411669903,3.298540491,3.891382092,3.445172129,4.036011139,3.09943282,3.863006842,3.509914655,3.4406953,3.608938442,3.375005099,3.983936568,3.224597759,3.84084256,3.499447394,3.627245679,3.800787595,3.495428419
